Subject,CrseNumb,AcyrCode,Term,Section,EnrlMax,EnrlActual
ABCD,1101,2013,201330,L40,35,33
ABCD,1101,2013,201330,R10,35,35
ABCD,1101,2013,201330,S10,35,34
ABCD,1101,2013,201410,S10,35,34
ABCD,1101,2013,201410,S11,35,34
ABCD,1101,2013,201420,S10,35,34
ABCD,1101,2013,201420,S11,35,35
ABCD,1101,2014,201430,L40,35,35
ABCD,1101,2014,201430,R10,35,35
ABCD,1101,2014,201430,S10,35,34
ABCD,1101,2014,201510,S10,35,35
ABCD,1101,2014,201510,S11,35,34
ABCD,1101,2014,201520,S10,35,0
ABCD,1101,2014,201520,S11,0,0
ABCD,1110,1996,199630,R40,5,2
ABCD,1110,1996,199720,R16,20,23
ABCD,1110,1996,199720,R40,20,17
ABCD,1110,1997,199820,R16,20,18
ABCD,1110,1997,199820,R40,20,16
ABCD,1110,1998,199920,R16,20,16
ABCD,1110,1998,199920,R40,20,17
ABCD,1110,1998,199920,S16,20,10
ABCD,1110,1999,200020,R16,35,16
ABCD,1110,1999,200020,R40,20,14
ABCD,1110,1999,200020,S14,35,3
ABCD,1110,1999,200020,S16,35,10
ABCD,1110,2000,200110,S70,1,3
ABCD,1110,2000,200120,R16,40,17
ABCD,1110,2000,200120,R17,1,1
ABCD,1110,2000,200120,R40,40,16
ABCD,1110,2000,200120,S14,35,8
ABCD,1110,2000,200120,S16,40,4
ABCD,1110,2000,200120,S17,1,1
ABCD,1110,2001,200220,L18,1,0
ABCD,1110,2001,200220,R10,35,4
ABCD,1110,2001,200220,R16,35,10
ABCD,1110,2001,200220,R17,1,0
ABCD,1110,2001,200220,R40,35,10
ABCD,1110,2001,200220,S10,35,5
ABCD,1110,2001,200220,S16,35,5
ABCD,1110,2001,200220,S17,1,0
ABCD,1110,2002,200230,S10,2,2
ABCD,1110,2002,200310,S16,20,3
ABCD,1110,2002,200320,R10,35,0
ABCD,1110,2002,200320,R16,35,6
ABCD,1110,2002,200320,R17,1,1
ABCD,1110,2002,200320,R40,20,5
ABCD,1110,2002,200320,S10,35,9
ABCD,1110,2002,200320,S16,35,3
ABCD,1110,2003,200330,S16,35,3
ABCD,1110,2003,200410,S10,2,1
ABCD,1110,2003,200410,S16,35,0
ABCD,1110,2003,200420,R16,35,0
ABCD,1110,2003,200420,R40,35,14
ABCD,1110,2003,200420,R41,1,1
ABCD,1110,2003,200420,S14,35,8
ABCD,1110,2003,200420,S16,35,9
ABCD,1110,2004,200430,R40,1,1
ABCD,1110,2004,200430,R41,1,0
ABCD,1110,2004,200430,S16,35,3
ABCD,1110,2004,200510,R40,35,0
ABCD,1110,2004,200510,S16,35,0
ABCD,1110,2004,200520,R16,35,0
ABCD,1110,2004,200520,R40,35,9
ABCD,1110,2004,200520,S14,35,12
ABCD,1110,2004,200520,S16,35,9
ABCD,1110,2004,200520,S17,1,3
ABCD,1110,2005,200530,S16,35,0
ABCD,1110,2005,200610,R40,35,1
ABCD,1110,2005,200610,S14,0,0
ABCD,1110,2005,200610,S16,35,3
ABCD,1110,2005,200610,S17,1,1
ABCD,1110,2005,200620,R15,2,2
ABCD,1110,2005,200620,R16,35,3
ABCD,1110,2005,200620,R17,2,2
ABCD,1110,2005,200620,R40,35,14
ABCD,1110,2005,200620,S14,35,5
ABCD,1110,2005,200620,S16,35,11
ABCD,1110,2006,200630,S16,35,0
ABCD,1110,2006,200710,R16,35,3
ABCD,1110,2006,200710,R40,35,0
ABCD,1110,2006,200720,R15,2,2
ABCD,1110,2006,200720,R40,20,8
ABCD,1110,2006,200720,S14,35,10
ABCD,1110,2006,200720,S16,35,8
ABCD,1110,2006,200720,S17,1,1
ABCD,1110,2007,200730,S14,35,0
ABCD,1110,2007,200730,S16,35,3
ABCD,1110,2007,200810,R16,35,2
ABCD,1110,2007,200810,R40,35,2
ABCD,1110,2007,200820,R40,20,11
ABCD,1110,2007,200820,S10,35,0
ABCD,1110,2007,200820,S14,35,6
ABCD,1110,2007,200820,S16,35,7
ABCD,1110,2007,200820,SI6,35,2
ABCD,1110,2008,200830,S16,35,4
ABCD,1110,2008,200830,S17,0,0
ABCD,1110,2008,200910,R16,35,2
ABCD,1110,2008,200910,R40,35,1
ABCD,1110,2008,200910,S17,35,0
ABCD,1110,2008,200920,R40,20,9
ABCD,1110,2008,200920,R41,20,0
ABCD,1110,2008,200920,S12,35,3
ABCD,1110,2008,200920,S13,35,0
ABCD,1110,2008,200920,S14,35,6
ABCD,1110,2008,200920,S15,35,0
ABCD,1110,2008,200920,S16,35,12
ABCD,1110,2008,200920,S17,35,1
ABCD,1110,2008,200920,S50,35,0
ABCD,1110,2008,200920,S51,35,0
ABCD,1110,2009,200930,R40,35,0
ABCD,1110,2009,200930,S14,35,0
ABCD,1110,2009,200930,S15,35,0
ABCD,1110,2009,200930,S16,35,1
ABCD,1110,2009,200930,S17,35,1
ABCD,1110,2009,201010,R16,35,9
ABCD,1110,2009,201010,R17,35,0
